site	x	y
ABT	171.5580088937	-43.6572437293
AG	172.2276280824	-43.2272960829
AHR	175.4682389854	-36.5894110596
AKMK	174.5214538418	-36.5573180788
AKMW	174.4684663015	-36.9405623633
AKNK	174.9738196759	-37.1947091534
AKOK	174.7245125564	-36.676687046
AKR	172.9622223706	-43.8115306037
AKWG	174.7398285495	-37.2270569968
AKWH	174.6612099064	-36.5799376153
AKWK	174.4772599538	-36.9429500779
ANI	177.1703142543	-38.7401386614
AR	175.1339401081	-36.9955030585
ARM	174.5117756888	-36.7434012689
ART	174.6849345504	-36.694374843
ASH	172.6857102191	-43.276992159
AU	174.6805939109	-36.7021880494
AW	175.5151904858	-41.49452835
AWD	174.567562829	-36.3700358465
AWN	174.680812633	-36.7017208962
BAL	172.9716690278	-43.8070404339
BC	175.4257647384	-41.018109773
BOG	172.3578505699	-43.7655420561
BOR	173.1791480551	-41.3233299588
BR	176.3036281949	-40.630761688
BSH	170.8610129163	-43.6247681122
CB	174.7618742288	-36.7466492461
CBWK	171.0755351574	-44.910511782
CH	174.7138357946	-36.8172598925
CL	170.8628425008	-44.1344154015
CMD	172.6284631845	-43.3713324826
CS	174.5220565221	-36.8888341271
D	175.0824833651	-36.9072344753
DC	174.7017491754	-36.3989918222
DCB	174.684957092	-36.4591168209
DCP	174.684050357	-36.4587360748
DRY	172.8164976546	-42.8136895292
DUD	172.6634790684	-43.5100543854
EAL	171.4051427877	-44.0477336621
EL	174.7086918466	-36.7926277024
EM	174.7119684228	-36.7948249598
ESK	176.8347546768	-39.3887625435
EU	174.7150021164	-36.7951688282
FRK	170.412323261	-44.0000411598
GLN	170.8493667841	-44.0918567189
HAL	170.7879314442	-44.0978947119
HAN	177.5843399626	-38.7334316635
HBMAK	176.3230996066	-40.0154333993
HBMAN	176.5248157122	-39.9070767147
HBMNR	176.7191003129	-39.4403579728
HBPOR	176.5818442554	-40.2968670552
HER	176.8662234903	-39.6722110559
HKH	174.5971155598	-36.3658493039
HOK	175.2360799489	-40.60499872
HOR	174.9261750152	-41.0793026238
HRMAN	175.8619133219	-40.4226804262
HRMW	175.9617254436	-40.3597889527
HRN	172.7675582639	-42.8717377365
HRWG	175.0612895781	-39.1116370454
HT	175.7808565851	-39.6568813427
HTM	175.1436366357	-41.0799194101
HUT	174.9183660779	-41.1980324991
HW	174.7402767963	-37.424629492
IRC	170.3487463266	-44.0873442829
JLB	173.1847875194	-41.3348487408
JLH	173.1917031709	-41.3497811969
JLW	173.1870037205	-41.3450418773
K	174.5601110678	-36.7737696795
KAR	174.7224561521	-41.2967157836
KAU	175.6711001214	-37.0610143192
KH	175.6179447866	-40.4402487117
KKP	174.462943525	-36.6300470006
KN	175.1954219451	-37.0684284525
KOW	173.6329079756	-42.4161449288
KP	172.5862127435	-43.4152912474
KRK	175.5009980875	-36.7581076494
KT	174.6121858115	-37.0972686844
KTN	172.6870133869	-43.7423098088
KWH	174.7794024052	-41.2579919655
LG	174.7063407572	-36.7699936312
LU	174.699419485	-36.7228956819
LV	174.7394539572	-36.6843876205
LYL	173.6787324713	-42.3765085994
M	174.9253189112	-36.7687220613
MA	174.4602903361	-36.4576907924
MB	170.3234482352	-44.1745061776
MD	175.4144557501	-39.398405577
MGK	176.9060395648	-39.9648871303
MGP	175.1426040228	-40.7422755711
MH	174.6473108652	-36.4500995601
MKD	176.3074797984	-39.082130671
MKM	176.5890863062	-39.0489231838
MKU	176.2776812489	-39.0786580959
ML	175.1754905962	-37.1116322876
MNK	176.8864424587	-39.6813431971
MNR	174.9770370967	-37.8024282662
MNT	176.8730696251	-39.6709378464
MO	175.4697891292	-40.4353497253
MPT	175.847892285	-40.3419333
MRP	177.1402142503	-39.0808765802
MSB	174.8510466987	-37.6787624503
MTK	174.7105729951	-36.344330275
MTR	175.4961834864	-41.0547859956
MTU	175.5372374158	-36.6636748152
MU	174.8044346543	-37.1882628619
MUG	175.818031838	-40.3318562447
MWB	176.1129194194	-40.2386158274
MWF	176.9473550547	-39.003304
MWP	175.3224717315	-39.4295202441
MWW	175.2575515551	-40.5023656302
NKU	174.6697893871	-36.5709900052
O	174.7449280866	-36.8075370576
OAG	175.9277108294	-39.9363478844
OAK	174.7052561074	-36.8757326937
OAL	175.6599034567	-40.1734180717
OAM	175.0428032961	-38.1476499157
OB	175.2126991868	-36.9922038098
OHP	171.3267301414	-44.2152324883
OMR	169.9582684854	-44.4896718147
OMW	175.0575821515	-38.0229952414
OP	174.5946545564	-36.8950656878
OPH	171.2741718001	-44.262805547
OPU	170.979658973	-44.0806952652
OR	174.7148069359	-36.6696111223
ORO	175.5210944954	-40.2771020018
OT	174.7081575406	-36.6804656177
OTH	174.7025100085	-36.7373378048
OTN	174.6740238714	-36.5637014081
OTR	174.8901828827	-36.9556484074
PAH	172.8290784145	-42.7972291265
PAW	172.9388569205	-43.7341698659
PB	174.9117828472	-37.001660962
PCK	175.3004814366	-37.8118941916
PGH	176.3710580096	-40.024071555
PH	174.6225066039	-36.4936214803
PHE	175.5148793962	-37.0229579299
PHN	174.8703457263	-36.9927674916
PHP	175.9390033194	-40.051503691
PIR	175.1360626104	-38.029621216
PKW	175.5416625798	-41.0780288997
PP	174.9251678971	-37.0279878103
PRN	175.4311053602	-36.8979603335
PRS	172.7204309078	-43.7642849004
PU	174.9113619917	-37.0010097908
PUH	176.9809986655	-39.8256178813
QLB	169.927744354	-44.4474334966
RED	173.0952656908	-41.3020850388
RES	173.2021180685	-41.3351791909
RG	176.0442458074	-39.6276520168
RH	174.5357421234	-36.7359823655
RHP	176.8640349023	-39.6273955279
RMW	175.8069415296	-39.8094562325
RUA	177.4831513003	-38.8157229073
SEL	171.8951741582	-43.4575251401
SH	174.8369971243	-36.6142438046
SKL	172.8496225919	-42.7705298328
SP	175.1626163481	-37.0324313027
SPR	170.0224365847	-44.339139393
SR	172.4104622968	-43.6959735183
STX	172.6103083531	-43.4627097688
SY	174.9754406818	-37.0861594544
TAS	173.0575424712	-41.1966225544
TH	175.8769486548	-40.4050487351
TIR	175.9195862793	-40.4669623376
TIW	177.2404231785	-38.9192242422
TK	175.4576781842	-39.4962039666
TKP	176.3342033889	-39.9658990974
TKT	176.3507613911	-39.935274186
TNK	172.6892629363	-43.3049071913
TP	176.2880222937	-39.0130121667
TR	175.6676152575	-41.0630478618
TRB	176.9278956118	-39.715467402
TRC	175.9886851153	-40.7545029938
TRK	174.7699807996	-37.8688932431
TRN	174.8488556381	-36.3740223274
TRP	175.6956222226	-36.7990796162
TRU	175.5204520475	-37.1104299446
TS	176.0649067434	-40.2453548289
TSH	176.7027490202	-39.9489352108
TSRM	173.2023754856	-41.3489972724
TUK	176.9319713853	-39.604559851
VU	174.7267773717	-36.6895387391
WAI	174.9157586296	-41.2281961005
WB	175.0964551433	-37.0930120735
WC	175.2553381211	-38.8916343427
WGMAN	175.1258959241	-41.0938942047
WGPOR	174.8395844154	-41.1493635885
WGR	175.4940480903	-36.7570422341
WGWG	175.4011236175	-41.0219420204
WHB	175.878993953	-41.064831198
WKK	175.0705010479	-37.7778151943
WKMTA	174.9304705046	-37.4269155572
WKN	175.133460817	-40.8758543755
WKNK	174.9021820884	-37.5450339229
WKOKU	175.0401930613	-38.0476528999
WKR	177.1916367743	-38.8561614534
WKWK	174.9821500985	-38.062498831
WMR	172.5916752979	-43.5215260517
WMU	175.5210611075	-37.0260620711
WN	174.8401154099	-37.8156717098
WP	176.4455925065	-39.862254612
WPR	172.5897316254	-43.0597443108
WS	175.0543087616	-37.0143136671
WTT	175.0349197429	-37.8684775578
