site,x,y,LRIvegetation,mud,native,exotic,waterfall,scrub,river,lake,ice,sand,snow,elevation,FSLsoil,orchard,shingle,elevation
ABT,171.5580088937,-43.6572437293,1,0,0,1,0,1,0,0,0,0,0,343,1,0,1,343
AG,172.2276280824,-43.2272960829,1,0,1,1,0,1,1,1,0,0,0,236,1,0,1,236
AHR,175.4682389854,-36.5894110596,1,0,0,0,0,1,0,0,0,0,0,63,1,0,0,63
AKMK,174.5214538418,-36.5573180788,1,0,1,1,0,0,0,1,0,0,0,25,1,0,0,25
AKMW,174.4684663015,-36.9405623633,1,0,1,0,0,1,0,1,0,1,0,26,1,0,0,26
AKNK,174.9738196759,-37.1947091534,1,0,1,1,0,1,0,1,0,0,0,154,1,1,0,154
AKOK,174.7245125564,-36.676687046,1,1,0,1,0,1,0,0,0,1,0,16,1,0,0,16
AKR,172.9622223706,-43.8115306037,1,1,0,1,0,0,0,0,0,1,0,20,1,0,0,20
AKWG,174.7398285495,-37.2270569968,1,1,1,0,1,0,0,1,0,1,0,16,1,1,0,16
AKWH,174.6612099064,-36.5799376153,1,0,1,1,0,1,0,1,0,0,0,42,1,0,0,42
AKWK,174.4772599538,-36.9429500779,1,0,1,0,0,0,0,1,0,1,0,49,1,0,0,49
ANI,177.1703142543,-38.7401386614,1,0,0,0,0,1,1,0,0,0,0,641,1,0,0,641
AR,175.1339401081,-36.9955030585,1,0,0,1,0,1,0,0,0,0,0,47,1,1,0,47
ARM,174.5117756888,-36.7434012689,1,0,1,1,0,0,0,1,0,0,0,22,1,0,0,22
ART,174.6849345504,-36.694374843,1,0,1,1,0,0,0,1,0,0,0,28,1,0,0,28
ASH,172.6857102191,-43.276992159,1,0,0,1,0,0,1,0,0,0,0,9,1,0,1,9
AU,174.6805939109,-36.7021880494,1,0,1,1,0,0,0,1,0,0,0,50,1,0,0,50
AW,175.5151904858,-41.49452835,1,0,0,1,0,1,1,0,0,0,0,13,1,0,1,13
AWD,174.567562829,-36.3700358465,1,0,0,1,0,0,0,0,0,0,0,169,1,0,0,169
AWN,174.680812633,-36.7017208962,1,0,1,1,0,0,0,1,0,0,0,53,1,0,0,53
BAL,172.9716690278,-43.8070404339,1,1,0,1,0,1,0,0,0,1,0,32,1,0,0,32
BC,175.4257647384,-41.018109773,1,0,1,1,0,1,0,1,0,0,0,184,1,0,0,184
BOG,172.3578505699,-43.7655420561,1,0,0,0,0,0,0,0,0,0,0,6,1,0,0,6
BOR,173.1791480551,-41.3233299588,1,1,0,0,0,0,0,0,0,1,0,6,1,1,0,6
BR,176.3036281949,-40.630761688,1,0,0,1,0,1,1,0,0,0,0,31,1,0,0,31
BSH,170.8610129163,-43.6247681122,1,0,0,0,0,1,1,0,0,0,0,581,1,0,1,581
CB,174.7618742288,-36.7466492461,1,0,0,0,0,0,0,0,0,1,0,12,1,0,0,12
CBWK,171.0755351574,-44.910511782,1,0,0,0,0,1,1,0,0,0,0,32,1,0,0,32
CH,174.7138357946,-36.8172598925,1,1,1,0,0,0,0,1,0,1,0,37,1,0,0,37
